cosine_similarity,very_high_similarity,high_similarity,split_pair,class_name,path_a,path_b,leaf_id_a,leaf_id_b,involves_unmapped_leaf
0.983994722366333,False,False,test--train,Corn_(maize)___Northern_Leaf_Blight,train\Corn_(maize)___Northern_Leaf_Blight\83327a8d-9bfd-49d6-9fc9-bc065a379bce___RS_NLB 4044 copy 2.jpg,train\Corn_(maize)___Northern_Leaf_Blight\b7ec2193-2a49-43b9-9962-7a13d472e668___RS_NLB 4044.JPG,,,True
0.980789065361023,False,False,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\40e7fe81-36f4-4810-ac4b-5d0da240880f___UF.GRC_YLCV_Lab 02864.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\36fe1ff2-b5a0-45c4-9920-0c5825713e48___UF.GRC_YLCV_Lab 02873.JPG,,,True
0.9805881977081299,False,False,test--train,Corn_(maize)___healthy,train\Corn_(maize)___healthy\3b1e3c0f-e493-4d5f-866b-c2274d307471___R.S_HL 0608.JPG,train\Corn_(maize)___healthy\2255588b-9281-4d7e-959f-cff61f97eb6b___R.S_HL 0608 copy 2.jpg,,,True
0.9797278642654419,False,False,test--train,Tomato___healthy,val\Tomato___healthy\068e324c-faf6-40d6-8f83-578907f1cac5___GH_HL Leaf 466.1.JPG,train\Tomato___healthy\b3813caa-82f2-4b9b-a5ef-a9f0db6f08bf___GH_HL Leaf 466.JPG,,,True
0.9789936542510986,False,False,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\7c215f7a-4aaf-4461-a727-7e4777daa562___UF.GRC_YLCV_Lab 01624.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\c2e89c8f-a64a-4396-aec9-da55a1a6f98d___UF.GRC_YLCV_Lab 01631.JPG,,,True
0.9785787463188171,False,False,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\6d998ee6-e936-4206-a213-062c36b0d61e___UF.GRC_YLCV_Lab 02877.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\6041f290-bdf5-425f-a38f-44f57a7548ba___UF.GRC_YLCV_Lab 02883.JPG,,,True
0.9785177707672119,False,False,train--validation,Tomato___healthy,train\Tomato___healthy\5216e02b-891f-4b00-9768-73f13e6d8ebf___GH_HL Leaf 433.1.JPG,train\Tomato___healthy\6c125a79-9b14-4a91-8f03-342910c7fe57___GH_HL Leaf 433.JPG,,,True
0.9782569408416748,False,False,train--validation,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\90703f86-170c-4ef4-8fc1-8a165b2eb15e___UF.GRC_YLCV_Lab 01948.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\65bd48f0-6b6f-48b5-a6c5-b855e374f7ea___UF.GRC_YLCV_Lab 01949.JPG,,,True
0.978229284286499,False,False,test--train,Corn_(maize)___healthy,train\Corn_(maize)___healthy\8254e846-2b6a-47bd-87a0-23a1b435eb20___R.S_HL 0599.JPG,train\Corn_(maize)___healthy\64150a14-e8fa-4301-a7ba-52ca7d592b4a___R.S_HL 0599 copy 3.jpg,,,True
0.9781327247619629,False,False,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\9e55c7a7-454c-49e8-8308-e20024c53268___UF.GRC_YLCV_Lab 03192.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\6092f6e6-8fbd-4069-aa45-dccda5f8d97f___UF.GRC_YLCV_Lab 03193.JPG,,,True
